page_id,text_id,title,original_title,full_bibliographic_entry,year,publisher,location,language,page_count,clean_content,categories,main_category,time_period
6054,41618,"""Am liebsten wäre mir Rom!"" Stefan Zweig und Italien",,"""Am liebsten wäre mir Rom!"" Stefan Zweig und Italien",,,,,,"""Am liebsten wäre mir Rom!"" Stefan Zweig und Italien",,,
6792,50284,An die Veranstalter des internationalen Antikriegskongreßes in Genf!,,An die Veranstalter des internationalen Antikriegskongreßes in Genf!,,,,,,An die Veranstalter des internationalen Antikriegskongreßes in Genf!,,,
3176,20507,Das Buch als Eingang zur Welt,,Das Buch als Eingang zur Welt,,,,,,Das Buch als Eingang zur Welt,,,
7316,57910,"""Ein dunkler Weg ..."" in ''Deutsche Dichtung''",Berlin,"""Ein dunkler Weg ..."" in ''Deutsche Dichtung'' [Berlin], 31 [March 1902], p. 263\n\n'''Reprinted in:'''\n\n""Was wir wollen!"" Gedichte und Nachdichtungen [Krems an der Donau, 2019], No. 32, p. 43\n\n\n\n\n",1902.0,"""Ein dunkler Weg ..."" in ''Deutsche Dichtung'' [Berlin]",Berlin,German,,"""Ein dunkler Weg ..."" in ''Deutsche Dichtung'' [Berlin], 31 [March 1902], p. 263\n\n'''Reprinted in:'''\n\n""Was wir wollen!"" Gedichte und Nachdichtungen [Krems an der Donau, 2019], No. 32, p. 43\n\n\n\n\n",Poetry / Individual Poems (German),Poetry,During Lifetime (1881-1942)
7310,57900,"""Eine blaue Flamme ..."" in ''Deutsche Dichtung''",Berlin,"""Eine blaue Flamme ..."" in ''Deutsche Dichtung'' [Berlin], 31 [January 1902], p. (181)\n\n'''Reprinted in:'''\n\n""Was wir wollen!"" Gedichte und Nachdichtungen [Krems an der Donau, 2019], No. 26, p. 37\n\n\n\n\n",1902.0,"""Eine blaue Flamme ..."" in ''Deutsche Dichtung'' [Berlin]",Berlin,German,,"""Eine blaue Flamme ..."" in ''Deutsche Dichtung'' [Berlin], 31 [January 1902], p. (181)\n\n'''Reprinted in:'''\n\n""Was wir wollen!"" Gedichte und Nachdichtungen [Krems an der Donau, 2019], No. 26, p. 37\n\n\n\n\n",Poetry / Individual Poems (German),Poetry,During Lifetime (1881-1942)
3527,25197,"""Erst wenn die Nacht fällt""",,"""Erst wenn die Nacht fällt""",,,,,,"""Erst wenn die Nacht fällt""",,,
1983,7911,"Geschäft ist Geschäft. Seien Sie mir ""privat""nicht böse. Ich brauche Geld. Der Briefwechsel zwischen Joseph Roth und den Exilverlagen Allert de Lange und Querido",,"Geschäft ist Geschäft. Seien Sie mir ""privat""nicht böse. Ich brauche Geld. Der Briefwechsel zwischen Joseph Roth und den Exilverlagen Allert de Lange und Querido",,,,,,"Geschäft ist Geschäft. Seien Sie mir ""privat""nicht böse. Ich brauche Geld. Der Briefwechsel zwischen Joseph Roth und den Exilverlagen Allert de Lange und Querido",,,
5905,40466,"""Lotte en Weimar"" de Tomás Mann",,"""Lotte en Weimar"" de Tomás Mann",,,,,,"""Lotte en Weimar"" de Tomás Mann",,,
5904,40658,"""Lotte en Weimar"" de Tomás Mann. '''See:''' Thomas Mann: ""Carlotta en Weimar""\n\n\n\n",,"""Lotte en Weimar"" de Tomás Mann. '''See:''' Thomas Mann: ""Carlotta en Weimar""\n\n\n\n",,Carlotta en Weimar,See,Spanish,,"""Lotte en Weimar"" de Tomás Mann. '''See:''' Thomas Mann: ""Carlotta en Weimar""\n\n\n\n",Essays / Individual Essays (Spanish),Essays,
6772,50194,\n,,\n,,,,German,,\n,Secondary Literature / Authors (German),Secondary Literature,
