page_id,page_title,text_id,content,flags,blob_id
6054,,41618,"#REDIRECT [[\""Am liebsten wÃ¤re mir Rom!\"" Stefan Zweig und Italien]]",utf-8,5
6792,,50284,#REDIRECT [[An die Veranstalter des internationalen AntikriegskongreÃŸes in Genf!]],utf-8,6
3176,,20507,#REDIRECT [[Das Buch als Eingang zur Welt]],utf-8,3
7316,,57910,"\""Ein dunkler Weg  ...\"" in \'\'Deutsche Dichtung\'\' [Berlin], 31 [March 1902], p. 263\n\n\'\'\'Reprinted in:\'\'\'\n<lst type=bracket start=1>\n[[\""Was wir wollen!\"" Gedichte und Nachdichtungen]] [Krems an der Donau,  2019], No. 32, p. 43\n</lst>\n\n\n[[Category:Poetry / Individual Poems (German)]]\n{{DEFAULTSORTKEY: Dunkler Weg}}",utf-8,7
7310,,57900,"\""Eine blaue Flamme ...\"" in \'\'Deutsche Dichtung\'\' [Berlin], 31 [January 1902], p. (181)\n\n\'\'\'Reprinted in:\'\'\'\n<lst type=bracket start=1>\n[[\""Was wir wollen!\"" Gedichte und Nachdichtungen]] [Krems an der Donau, 2019], No. 26, p. 37\n</lst>\n\n\n[[Category:Poetry  / Individual Poems (German)]]\n{{DEFAULTSORTKEY:Blaume Flamme}}",utf-8,7
3527,,25197,"#REDIRECT [[\""Erst wenn die Nacht fÃ¤llt\""]]",utf-8,4
1983,,7911,"#REDIRECT [[GeschÃ¤ft ist GeschÃ¤ft. Seien Sie mir \""privat\""nicht bÃ¶se. Ich brauche Geld. Der Briefwechsel zwischen Joseph Roth und den Exilverlagen Allert de Lange und Querido]]",utf-8,1
5905,,40466,"#REDIRECT [[\""Lotte en Weimar\"" de TomÃ¡s Mann]]",utf-8,5
5904,,40658,"\""Lotte en Weimar\"" de TomÃ¡s Mann. \'\'\'See:\'\'\'  [[Thomas Mann: \""Carlotta en Weimar\""]]\n\n\n[[Category:Essays / Individual Essays (Spanish)]]\n{{DEFAULTSORTKEY:Lotte en Weimar, de Tomas Mann}}",utf-8,5
6772,,50194,[[Category:Secondary Literature / Authors (German)]]\n{{DEFAULTSORTKEY:Nur die Lebendigen schaffen die Welt - Engagement und Verantwortung in Stefan Zweigs Essayistik}},utf-8,6
